study_ID,companion_Type,score,combo,event_Type,event_Actuator,event_Receiver,time_Seconds
0,0,0,0,HIT,PLAYER,PLAYER_ENEMY,6
0,0,0,0,MISS,PLAYER,PLAYER_ENEMY,6
0,0,0,0,HIT,PLAYER,PLAYER_ENEMY,6
0,0,0,0,MISS,PLAYER,PLAYER_ENEMY,7
0,0,0,1,HIT_KILL,PLAYER,PLAYER_ENEMY,7
0,0,0,1,MISS,PLAYER,PLAYER_ENEMY,7
0,0,0,1,MISS,PLAYER,PLAYER_ENEMY,8
0,0,0,1,HIT,COMPANION,COMPANION_ENEMY,8
0,0,0,1,MISS,PLAYER,PLAYER_ENEMY,8
0,0,6,1,BUFF,COMPANION,COMPANION_ENEMY,9
0,0,6,1,MISS,PLAYER,PLAYER_ENEMY,9
0,0,6,0,MISS,COMPANION,COMPANION_ENEMY,9
0,0,6,0,HIT,COMPANION,COMPANION_ENEMY,9
0,0,6,0,HIT,PLAYER,PLAYER_ENEMY,9
0,0,6,0,MISS,COMPANION,COMPANION_ENEMY,9
0,0,6,0,MISS,PLAYER,PLAYER_ENEMY,10
0,0,6,0,HIT,PLAYER,PLAYER_ENEMY,10
0,0,6,1,HIT_KILL,COMPANION,COMPANION_ENEMY,10
0,0,6,1,MISS,COMPANION,COMPANION_ENEMY,10
0,0,6,2,HIT_KILL,PLAYER,PLAYER_ENEMY,10
0,0,6,2,MISS,COMPANION,COMPANION_ENEMY,11
0,0,6,2,HIT,COMPANION,COMPANION_ENEMY,11
0,0,6,2,MISS,PLAYER,PLAYER_ENEMY,11
0,0,26,2,HIT,COMPANION,COMPANION_ENEMY,11
0,0,26,2,MISS,PLAYER,PLAYER_ENEMY,11
0,0,26,2,HIT,PLAYER,PLAYER_ENEMY,12
0,0,38,0,HIT,COMPANION,COMPANION_ENEMY,12
0,0,38,0,HIT,PLAYER,PLAYER_ENEMY,13
0,0,38,0,MISS,PLAYER,PLAYER_ENEMY,13
0,0,38,1,HIT_KILL,COMPANION,COMPANION_ENEMY,13
0,0,38,2,HIT_KILL,PLAYER,PLAYER_ENEMY,13
0,0,38,2,MISS,COMPANION,COMPANION_ENEMY,14
0,0,38,2,HIT,COMPANION,COMPANION_ENEMY,14
0,0,38,2,MISS,COMPANION,COMPANION_ENEMY,14
0,0,38,2,HIT,COMPANION,COMPANION_ENEMY,14
0,0,38,2,MISS,PLAYER,PLAYER_ENEMY,15
0,0,70,0,HIT,COMPANION,COMPANION_ENEMY,15
0,0,70,0,HIT,PLAYER,PLAYER_ENEMY,16
0,0,70,1,HIT_KILL,COMPANION,COMPANION_ENEMY,16
0,0,70,1,MISS,PLAYER,PLAYER_ENEMY,16
0,0,70,1,HIT,PLAYER,PLAYER_ENEMY,16
0,0,70,1,MISS,PLAYER,PLAYER_ENEMY,17
0,0,70,2,HIT_KILL,PLAYER,PLAYER_ENEMY,17
0,0,90,2,MISS,PLAYER,PLAYER_ENEMY,18
0,0,90,2,BUFF,COMPANION,COMPANION_ENEMY,18
0,0,90,2,HIT,COMPANION,COMPANION_ENEMY,18
0,0,102,2,HIT,PLAYER,PLAYER_ENEMY,19
0,0,102,2,MISS,PLAYER,PLAYER_ENEMY,19
0,0,102,0,HIT,PLAYER,PLAYER_ENEMY,19
0,0,102,0,HIT,COMPANION,COMPANION_ENEMY,19
0,0,102,0,MISS,PLAYER,PLAYER_ENEMY,20
0,0,102,0,MISS,COMPANION,COMPANION_ENEMY,20
0,0,102,0,HIT,PLAYER,PLAYER_ENEMY,21
0,0,102,0,HIT,PLAYER,PLAYER_ENEMY,21
0,0,102,1,HIT_KILL,PLAYER,PLAYER_ENEMY,22
0,0,102,1,MISS,PLAYER,PLAYER_ENEMY,22
0,0,102,1,HIT,COMPANION,COMPANION_ENEMY,22
0,0,102,1,MISS,PLAYER,PLAYER_ENEMY,22
0,0,102,1,MISS,COMPANION,COMPANION_ENEMY,23
0,0,102,1,HIT,COMPANION,COMPANION_ENEMY,23
0,0,108,2,HIT_KILL,PLAYER,PLAYER_ENEMY,23
0,0,108,2,HIT,PLAYER,PLAYER_ENEMY,24
0,0,108,2,HIT,COMPANION,COMPANION_ENEMY,24
0,0,108,2,MISS,PLAYER,PLAYER_ENEMY,24
0,0,108,2,HIT,COMPANION,COMPANION_ENEMY,24
0,0,108,2,MISS,PLAYER,PLAYER_ENEMY,24
0,0,108,2,HIT,PLAYER,PLAYER_ENEMY,24
0,0,108,2,HIT,COMPANION,COMPANION_ENEMY,24
0,0,118,3,HIT_KILL,PLAYER,PLAYER_ENEMY,25
0,0,121,3,HIT,COMPANION,COMPANION_ENEMY,25
0,0,121,3,HIT,COMPANION,COMPANION_ENEMY,25
0,0,121,3,HIT,COMPANION,COMPANION_ENEMY,26
0,0,121,3,MISS,PLAYER,PLAYER_ENEMY,26
0,0,121,4,HIT_KILL,COMPANION,COMPANION_ENEMY,26
0,0,129,4,HIT,PLAYER,PLAYER_ENEMY,27
0,0,145,4,MISS,PLAYER,PLAYER_ENEMY,27
0,0,145,4,HIT,COMPANION,COMPANION_ENEMY,27
0,0,145,4,MISS,PLAYER,PLAYER_ENEMY,27
0,0,145,4,HIT,PLAYER,PLAYER_ENEMY,27
0,0,145,4,HIT,COMPANION,COMPANION_ENEMY,27
0,0,145,4,BUFF,COMPANION,COMPANION_ENEMY,28
0,0,185,5,HIT_KILL,PLAYER,PLAYER_ENEMY,28
0,0,185,6,HIT_KILL,COMPANION,COMPANION_ENEMY,29
0,0,185,6,MISS,PLAYER,PLAYER_ENEMY,30
0,0,221,6,MISS,PLAYER,PLAYER_ENEMY,30
0,0,257,0,MISS,PLAYER,PLAYER_ENEMY,31
0,0,257,0,HIT,PLAYER,PLAYER_ENEMY,31
0,0,257,0,HIT,COMPANION,COMPANION_ENEMY,31
0,0,257,0,MISS,COMPANION,COMPANION_ENEMY,32
0,0,257,0,MISS,PLAYER,PLAYER_ENEMY,32
0,0,257,0,HIT,COMPANION,COMPANION_ENEMY,32
0,0,257,0,HIT,PLAYER,PLAYER_ENEMY,32
0,0,257,0,HIT,COMPANION,COMPANION_ENEMY,33
0,0,257,0,HIT,COMPANION,COMPANION_ENEMY,33
0,0,257,0,MISS,PLAYER,PLAYER_ENEMY,33
0,0,257,1,HIT_KILL,PLAYER,PLAYER_ENEMY,33
0,0,257,1,MISS,COMPANION,COMPANION_ENEMY,33
0,0,257,2,HIT_KILL,COMPANION,COMPANION_ENEMY,33
0,0,257,2,MISS,PLAYER,PLAYER_ENEMY,33
0,0,257,3,HIT_KILL,COMPANION,COMPANION_ENEMY,34
0,0,257,3,MISS,COMPANION,COMPANION_ENEMY,34
0,0,257,3,MISS,PLAYER,PLAYER_ENEMY,34
0,0,257,3,HIT,PLAYER,PLAYER_ENEMY,34
0,0,257,3,HIT,COMPANION,COMPANION_ENEMY,34
0,0,257,3,HIT,COMPANION,COMPANION_ENEMY,34
