study_ID,companion_Type,event_Type,event_Actuator,event_Receiver,time_Seconds,score
0,3,NERF,COMPANION,PLAYER_ENEMY,8,-
0,3,NERF,PLAYER,PLAYER_ENEMY,20,-
0,3,NERF,COMPANION,PLAYER_ENEMY,21,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,31,-
0,3,NERF,COMPANION,PLAYER_ENEMY,36,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,46,-
0,3,NERF,COMPANION,COMPANION_ENEMY,46,-
0,3,NERF,COMPANION,PLAYER_ENEMY,65,-
0,3,BUFF,PLAYER,PLAYER_ENEMY,69,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,74,-
0,3,NERF,COMPANION,PLAYER_ENEMY,75,-
0,3,NERF,COMPANION,COMPANION_ENEMY,85,-
0,3,BUFF,PLAYER,COMPANION_ENEMY,87,-
0,3,NERF,COMPANION,PLAYER_ENEMY,94,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,99,-
0,3,NERF,COMPANION,PLAYER_ENEMY,104,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,105,-
0,3,SEC_ATTACK,PLAYER,PLAYER_ENEMY,108,-
0,3,NERF,COMPANION,PLAYER_ENEMY,115,-
0,3,SEC_ATTACK,PLAYER,PLAYER_ENEMY,117,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,119,-
0,3,NERF,PLAYER,COMPANION_ENEMY,119,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,124,-
0,3,NERF,COMPANION,COMPANION_ENEMY,125,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,132,-
0,3,NERF,COMPANION,PLAYER_ENEMY,134,-
0,3,SEC_ATTACK,PLAYER,PLAYER_ENEMY,140,-
0,3,NERF,PLAYER,PLAYER_ENEMY,141,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,144,-
0,3,NERF,COMPANION,PLAYER_ENEMY,144,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,152,-
0,3,NERF,COMPANION,PLAYER_ENEMY,155,-
0,3,NERF,PLAYER,COMPANION_ENEMY,156,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,165,-
0,3,NERF,COMPANION,PLAYER_ENEMY,165,-
0,3,SEC_ATTACK,PLAYER,PLAYER_ENEMY,168,-
0,3,SEC_ATTACK,COMPANION,COMPANION_ENEMY,171,-
0,3,SEC_ATTACK,PLAYER,PLAYER_ENEMY,173,-
0,3,BUFF,COMPANION,PLAYER_ENEMY,175,-
0,3,NERF,PLAYER,PLAYER_ENEMY,180,-
0,3,FINAL,-,-,180,13484
0,0,BUFF,COMPANION,COMPANION_ENEMY,13,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,23,-
0,0,BUFF,COMPANION,PLAYER_ENEMY,33,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,46,-
0,0,NERF,PLAYER,PLAYER_ENEMY,52,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,54,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,55,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,59,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,67,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,77,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,78,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,82,-
0,0,NERF,PLAYER,COMPANION_ENEMY,85,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,86,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,93,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,96,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,98,-
0,0,SEC_ATTACK,PLAYER,PLAYER_ENEMY,102,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,103,-
0,0,BUFF,COMPANION,PLAYER_ENEMY,106,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,115,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,116,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,123,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,125,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,128,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,133,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,135,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,141,-
0,0,SEC_ATTACK,PLAYER,PLAYER_ENEMY,142,-
0,0,NERF,COMPANION,PLAYER_ENEMY,145,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,146,-
0,0,SEC_ATTACK,PLAYER,PLAYER_ENEMY,150,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,151,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,154,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,158,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,163,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,164,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,170,-
0,0,SEC_ATTACK,PLAYER,PLAYER_ENEMY,173,-
0,0,BUFF,COMPANION,COMPANION_ENEMY,174,-
0,0,NERF,PLAYER,COMPANION_ENEMY,178,-
0,0,SEC_ATTACK,COMPANION,COMPANION_ENEMY,178,-
0,0,FINAL,-,-,180,11660
0,1,NERF,COMPANION,COMPANION_ENEMY,10,-
0,1,NERF,COMPANION,COMPANION_ENEMY,21,-
0,1,NERF,COMPANION,COMPANION_ENEMY,40,-
0,1,NERF,COMPANION,PLAYER_ENEMY,50,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,59,-
0,1,SEC_ATTACK,COMPANION,COMPANION_ENEMY,59,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,65,-
0,1,NERF,COMPANION,COMPANION_ENEMY,68,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,68,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,75,-
0,1,NERF,COMPANION,COMPANION_ENEMY,78,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,78,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,81,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,84,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,87,-
0,1,NERF,COMPANION,COMPANION_ENEMY,87,-
0,1,DEATH,PLAYER_ENEMY,PLAYER,90,-
