"CompOC_BUFF_COMPANION_COMPANION_ENEMY","CompOC_BUFF_COMPANION_PLAYER_ENEMY","CompOC_NERF_COMPANION_COMPANION_ENEMY","CompOC_NERF_COMPANION_PLAYER_ENEMY","CompOF_BUFF_COMPANION_COMPANION_ENEMY","CompOF_BUFF_COMPANION_PLAYER_ENEMY","CompOF_NERF_COMPANION_COMPANION_ENEMY","CompOF_NERF_COMPANION_PLAYER_ENEMY","CompSC_BUFF_COMPANION_COMPANION_ENEMY","CompSC_BUFF_COMPANION_PLAYER_ENEMY","CompSC_NERF_COMPANION_PLAYER_ENEMY","CompSF_BUFF_COMPANION_COMPANION_ENEMY","CompSF_BUFF_COMPANION_PLAYER_ENEMY","CompSF_NERF_COMPANION_COMPANION_ENEMY","CompSF_NERF_COMPANION_PLAYER_ENEMY","CompOC_FINAL","CompOF_FINAL","CompSC_FINAL","CompSF_FINAL","PLAYER_ACCURACY_CompOC","PLAYER_ACCURACY_CompOF","PLAYER_ACCURACY_CompSC","PLAYER_ACCURACY_CompSF","COMPANION_ACCURACY_CompOC","COMPANION_ACCURACY_CompOF","COMPANION_ACCURACY_CompSC","COMPANION_ACCURACY_CompSF","Sex","Age","Occupation","How.often.do.you.play.video.games.","Do.you.enjoy.games.that.offer.companions.to.aid.your.journeys.","CompSC_PERCEIVED_FREQ_NERF_PLAYER_ENEMY","CompSC_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY","CompSC_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY","CompSC_PERCEIVED_FREQ_NERF_COMPANION_ENEMY","CompSC_EXPERIENCE_RATE","CompSF_PERCEIVED_FREQ_NERF_COMPANION_ENEMY","CompSF_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY","CompSF_PERCEIVED_FREQ_NERF_PLAYER_ENEMY","CompSF_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY","CompSF_EXPERIENCE_RATE","CompOC_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY","CompOC_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY","CompOC_PERCEIVED_FREQ_NERF_COMPANION_ENEMY","CompOC_PERCEIVED_FREQ_NERF_PLAYER_ENEMY","CompOC_EXPERIENCE_RATE","CompOF_PERCEIVED_FREQ_BUFF_COMPANION_ENEMY","CompOF_PERCEIVED_FREQ_NERF_COMPANION_ENEMY","CompOF_PERCEIVED_FREQ_NERF_PLAYER_ENEMY","CompOF_PERCEIVED_FREQ_BUFF_PLAYER_ENEMY","CompOF_EXPERIENCE_RATE","X.I.see.myself.as.a.","OBSERVED_QUADRANT","GEQ_SCORE_SC_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY","GEQ_SCORE_SC_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS","GEQ_SCORE_SC_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT","GEQ_SCORE_SF_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY","GEQ_SCORE_SF_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS","GEQ_SCORE_SF_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT","GEQ_SCORE_OC_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY","GEQ_SCORE_OC_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS","GEQ_SCORE_OC_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT","GEQ_SCORE_OF_PSYCHOLOGICAL_INVOLVEMENT_EMPATHY","GEQ_SCORE_OF_PSYCHOLOGICAL_INVOLVEMENT_NEGATIVE_FEELINGS","GEQ_SCORE_OF_PSYCHOLOGICAL_BEHAVIOURAL_INVOLVEMENT","IMI_INTEREST_ENJOYMENT_SCORE","CompSC_NERF_COMPANION_COMPANION_ENEMY"
3,13,0,0,2,0,1,12,14,3,0,1,2,14,0,7343,10709,9146,5936,0.875259875259875,0.601910828025478,0.792237442922374,0.926056338028169,0.925824175824176,0.905063291139241,0.973469387755102,0.616216216216216,"Masculine",17,"Student","I make some time in my schedule to play video games.","I enjoy them and have played/watched others play them multiple times.",2,1,4,1,6,3,3,1,4,4,5,2,1,1,5,1,1,5,1,4,"0","0",3.5,0.2,1.16666666666667,1.33333333333333,1.6,1.66666666666667,2.16666666666667,0.4,0.833333333333333,1.5,1.6,2.33333333333333,6.57142857142857,0
2,14,1,0,2,0,2,13,14,4,0,1,2,15,0,10095,5208,6046,6632,0.851293103448276,0.508130081300813,0.870020964360587,0.864321608040201,0.873817034700315,0.881987577639752,0.959219858156028,0.661111111111111,"Masculine",18,"Student","I make some time in my schedule to play video games.","I played/watched others play them enough to understand I do not appreciate them.",4,5,3,4,5,3,4,4,4,6,5,2,2,5,7,2,5,3,3,5,"3","1",2.5,2.8,3,3.16666666666667,2.6,2.83333333333333,3.5,2.4,3.33333333333333,2.33333333333333,2.2,3.16666666666667,6.57142857142857,0
1,13,2,0,1,0,2,13,12,3,0,1,2,14,0,2273,2001,5866,2260,0.9,0.442748091603053,0.707317073170732,0.765042979942693,0.713004484304933,0.866071428571429,0.964346349745331,0.672619047619048,"Feminine",24,"Student","I do not play video games.","I am not familiar with these games and/or have no formed opinion on them.",2,3,2,3,4,5,1,1,1,2,5,1,1,1,2,1,1,5,1,6,"1","1",0.833333333333333,1,2,0.166666666666667,1.4,1.33333333333333,0.5,1.2,1.66666666666667,2.5,0.6,3,6,0
3,12,1,0,3,0,0,12,12,3,0,1,3,12,0,6642,6279,14334,5905,0.820075757575758,0.47887323943662,0.775280898876405,0.669312169312169,0.962877030162413,0.937321937321937,0.955673758865248,0.655913978494624,"Masculine",26,"Student","I play video games occasionally when the opportunity presents itself.","I am not familiar with these games and/or have no formed opinion on them.",1,2,3,1,4,3,1,1,3,3,5,1,3,1,3,4,1,1,1,4,"0","1",0.166666666666667,0,2,0.333333333333333,0,1.83333333333333,0.333333333333333,0,2.33333333333333,0.333333333333333,0,2.16666666666667,5.14285714285714,0
2,12,1,0,3,0,0,13,12,4,0,1,2,14,0,5841,13574,4024,6131,0.964739069111425,0.637254901960784,0.90979381443299,0.807560137457045,0.808080808080808,0.902356902356902,0.966537966537967,0.647398843930636,"Masculine",17,"Student","I play video games occasionally when the opportunity presents itself.","I played/watched others play them enough to understand I do not appreciate them.",1,1,3,1,4,1,1,1,2,5,4,1,1,1,2,2,3,4,1,6,"1","1",1.83333333333333,0.2,1,1.33333333333333,0,2,0.666666666666667,0.4,1,2.33333333333333,0.6,1.83333333333333,5.14285714285714,0
2,13,2,0,3,0,1,12,13,4,0,1,2,14,0,7769,9214,12288,16423,0.89749430523918,0.473118279569892,0.809843400447427,0.684542586750789,0.846938775510204,0.829596412556054,0.968051118210863,0.62874251497006,"Masculine",29,"Student","I play video games occasionally when the opportunity presents itself.","I enjoy them and have played/watched others play them multiple times.",1,4,4,1,5,5,1,1,1,3,5,3,1,1,3,1,1,5,2,4,"3","0",1.66666666666667,0.4,2.16666666666667,0.333333333333333,0.2,1.16666666666667,1.16666666666667,0.4,1.66666666666667,0.666666666666667,0.2,1.83333333333333,5.71428571428571,0
3,13,1,0,2,0,1,14,15,3,0,1,3,13,0,8391,8745,11283,11527,0.925666199158485,0.409090909090909,0.805825242718447,0.76,0.889855072463768,0.871428571428571,0.945770065075922,0.648936170212766,"Masculine",22,"Student","I play video games occasionally when the opportunity presents itself.","I am not familiar with these games and/or have no formed opinion on them.",1,5,1,2,6,5,1,1,3,5,5,2,3,1,2,2,4,4,2,3,"1","1",2.16666666666667,1,1.66666666666667,2.5,1.2,2,0.166666666666667,2.4,1.5,1.5,1,3,4.85714285714286,0
2,14,1,0,2,0,1,13,13,4,0,1,2,13,0,4730,5034,7105,4237,0.922924901185771,0.557823129251701,0.782178217821782,0.737569060773481,0.908866995073892,0.903474903474903,0.940594059405941,0.566265060240964,"Masculine",26,"Student","I make some time in my schedule to play video games.","I enjoy them and have played/watched others play them multiple times.",2,4,3,4,6,5,2,2,2,5,5,1,2,1,2,5,2,5,2,4,"3","0",2.66666666666667,1.8,2.66666666666667,2.5,1.8,3.33333333333333,1.5,3.2,2.33333333333333,1.5,1.4,2,4.85714285714286,0
2,13,1,0,1,0,2,14,15,3,0,1,3,14,0,11417,6587,18703,8169,0.927872860635697,0.492063492063492,0.683473389355742,0.673758865248227,0.933747412008282,0.838862559241706,0.970178926441352,0.654545454545455,"Masculine",24,"Student","I play video games occasionally when the opportunity presents itself.","I am not familiar with these games and/or have no formed opinion on them.",1,3,3,1,6,4,2,4,2,4,5,1,2,1,3,2,2,5,1,5,"0","1",1.83333333333333,1,2.33333333333333,1.66666666666667,1.2,2.16666666666667,1.66666666666667,0.6,2.16666666666667,2.66666666666667,1,2.16666666666667,6.71428571428571,0
2,13,2,0,1,0,2,13,13,3,0,1,2,15,0,5245,5933,11192,6519,0.953360768175583,0.634703196347032,0.884393063583815,0.775086505190311,0.84297520661157,0.785714285714286,0.960985626283368,0.660714285714286,"Masculine",19,"Student","I make some time in my schedule to play video games.","I enjoy them and have played/watched others play them multiple times.",3,4,3,2,7,5,1,2,2,3,5,1,3,2,5,2,4,4,2,7,"0","0",4,1.4,2.16666666666667,1,1.2,1.33333333333333,2.5,2.4,1.83333333333333,3.33333333333333,1.4,3.16666666666667,6.71428571428571,0
